Vivado Simulator 2020.1
Time resolution is 1 ps
Time | PC | Inst | rs1 | rs2 | rd | WriteData | ReadData1 | ReadData2 | Imm_Data | ALU_In1 | ALU_Result | Mem_Addr | Read_Data
0 | 0 | 00001111000001010011010010000011 | 10 | 16 | 9 | x | 0 | 0 | 240 | 240 | 240 | 480 | x
10000 | 0 | 00001111000001010011010010000011 | 10 | 16 | 9 | x | 11 | 17 | 240 | 240 | 251 | 480 | x
15000 | 4 | 00000000100110101000010010110011 | 21 | 9 | 9 | x | 22 | x | 9 | x | x | 22 | x
25000 | 8 | 00000000000101001000010010010011 | 9 | 1 | 9 | x | x | 2 | 1 | 1 | x | 10 | x
35000 | 12 | 00001110100101010011100000100011 | 10 | 9 | 16 | x | 11 | x | 240 | 240 | 251 | 492 | x
45000 | 16 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 16 | x
55000 | 20 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 20 | x
65000 | 24 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 24 | x
75000 | 28 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 28 | x
85000 | 32 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 32 | x
95000 | 36 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 36 | x
105000 | 40 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 40 | x
115000 | 44 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 44 | x
125000 | 48 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 48 | x
135000 | 52 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 52 | x
145000 | 56 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 56 | x
155000 | 60 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 60 | x
165000 | 64 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 64 | x
175000 | 68 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 68 | x
185000 | 72 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 72 | x
195000 | 76 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 76 | x
205000 | 80 | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | x | x | x | x | x | x | 0 | x | x | 80 | x
$finish called at time : 210 ns : File "D:/Habib/4th Sem/CA Lab/CA-Proj/1.Single Cycle/sim/tb_RISC_V_Processor.v" Line 48
